name,plan_date,uc_id
Kals Gama,1,86
Kals Gama,2,86
Cheetar,3,86
Cheetar,6,86
Chohal,7,86
Aswi,8,86
Qaim Shah Wala,9,86
Qaim Shah Wala,10,86
Qaim Shah Wala,13,86
Basti Hakim Shah,14,86
Kot Muhammad Hasan,15,86
Kot Muhammad Hasan,16,86
Qazi Wala,17,86
Thati Hithar,20,86
Thati Hithar,21,86
Mankadekay,22,86
Mankadekay,23,86
Mankadekay,24,86
Mankadekay,27,86
Mehmood Khokar,28,86
Manurian,29,86
Manurian,30,86
Gandhi Rup Singh,1,87
Fateh Muhammad Kalan,2,87
"Bhattian, Rukan Pura",3,87
Mansu Wala,6,87
"Lohay Jatan, Qali Shahu",7,87
Basti Dhengian Wali,8,87
Mokal,9,87
Mokal,10,87
Tiba Fateh Muhammad,13,87
"Cha Quraishian, Fateh Muhammad Khurd",14,87
"Besukay, Dharma Thakura",15,87
"Phanian, Mehr Singh",16,87
"Shehbaz Kay, Kacha",17,87
"Harjoki, Dharian",20,87
Chambian Wali,21,87
Bodal Khanekay,22,87
Kot Sandar Singh,23,87
Sheray Walay,24,87
Nibahu Wala,27,87
Daya Singh,28,87
Basti Dhoon,29,87
Ladha Singh,30,87
Bhangu Wala,1,88
Tangarian,2,88
Badaikay,3,88
Badaikay,6,88
Shamkot Kahna,7,88
Shamkot Kahna,8,88
Bhangun Kay Araian,9,88
Bhangun Kay Araian,10,88
Bhangun Kay Araian,13,88
Mehr Chand Wala,14,88
Kotha Kalan,15,88
Kotha Kalan,16,88
Kotha Kalan,17,88
Kotha Kalan,20,88
Bholay Wala,21,88
Kotha Scattered,22,88
Kotha Scattered,23,88
Kotha Scattered,24,88
Basti Qutab Shah,27,88
Basti Qutab Shah,28,88
Badaikay Scattered,29,88
Badaikay Scattered,30,88
Bhualruian,1,89
Bhualruian,2,89
Narmal Kay,3,89
Narmal Kay,6,89
Bea Singh,7,89
Bea Singh,8,89
Khokar Tochar,9,89
Khokar Tochar,10,89
Veer Kay,13,89
Veer Kay,14,89
Veer Kay,15,89
Jajal,16,89
Jajal,17,89
Jajal,20,89
Jajal,21,89
Qila Natha Singh,22,89
Qila Natha Singh,23,89
Qila Natha Singh,24,89
Qila Natha Singh,27,89
Pakhoki,28,89
Pakhoki,29,89
Pakhoki,30,89
Dao Kay Kalan,1,90
Dao Kay Kalan,2,90
Dao Kay Kalan,3,90
Janga Singh Wala,6,90
Kali Soqal,7,90
Kali Soqal,8,90
Dher Jekay,9,90
Qila Dao Kay,10,90
Qila Dao Kay,13,90
Lohay Rajputan,14,90
Lohay Marley,15,90
Tibbi Mehtab,16,90
Garay Wala,17,90
Garay Wala,20,90
Kali Soqal,21,90
Kali Soqal,22,90
Kali Soqal,23,90
Kali Soqal,24,90
Dao  Kay Khaniana,27,90
Dao  Kay Khaniana,28,90
Basti Fateh Wali,29,90
Basti Fateh Wali,30,90
Barj Rang Singh,1,91
Barj Rang Singh,2,91
Barj Rang Singh,3,91
Atari Karam Singh,6,91
Atari Karam Singh,7,91
Atari Karam Singh,8,91
Atari Karam Singh,9,91
Maula Pur,10,91
Maula Pur,13,91
Maula Pur,14,91
Palara,15,91
Palara,16,91
Ganab Kalan,17,91
Ganab Khurd,20,91
Rae Singh,21,91
Rae Singh,22,91
Narain Singh,23,91
Narain Singh,24,91
Dev Khara,27,91
Dev Khara,28,91
Dev Khara,29,91
Dev Khara,30,91
Bhagyana Khurd,1,92
Bhagyana Khurd,2,92
Bhagyana Khurd,3,92
Bhagyana Khurd,6,92
Bher Sudian,7,92
Bher Sudian,8,92
Bher Sudian,9,92
Talondi,10,92
Talondi,13,92
Talondi,14,92
Talondi,15,92
Talondi,16,92
Talondi,17,92
Talondi,20,92
Talondi,21,92
Talondi,22,92
Talondi,23,92
Talondi,24,92
Talondi,27,92
Talondi,28,92
Talondi,29,92
Talondi,30,92
Ward Number 1,1,93
Ward Number 1,2,93
Ward Number 1,3,93
Ward Number 1,6,93
Ward Number 2,7,93
Ward Number 2,8,93
Ward Number 2,9,93
Ward Number 2,10,93
Ward Number 2,13,93
Ward Number 2,14,93
Ward Number 2,15,93
Ward Number 2,16,93
Ward Number 2+3,17,93
Ward Number 3,20,93
Ward Number 3,21,93
Ward Number 4,22,93
Ward Number 5,23,93
Ward Number 6,24,93
Ward Number 6,27,93
Ward Number 6,28,93
Ward Number 7+8,29,93
Ward Number 9+10,30,93
Sham Kot,1,94
Sham Kot,2,94
Sham Kot,3,94
Sham Kot,6,94
Atari Virk,7,94
Atari Virk,8,94
Jamsheer Kalan,9,94
Jamsheer Kalan,10,94
Jamsheer Kalan,13,94
Jamsheer Kalan,14,94
Jamsheer Kalan,15,94
Sheniwal,16,94
Sheniwal,17,94
Sheniwal,20,94
Jamsheer Scattered,21,94
Jamsheer Scattered,22,94
Ladi,23,94
Ladi,24,94
Achal Kay,27,94
Achal Kay,28,94
Suraisar Hithar,29,94
Suraisar Hithar,30,94
Dhadian,1,95
Atari Akikay,2,95
Atari Akikay,3,95
Atari Akikay,6,95
"Fatml, Fatoki",7,95
Fatoki,8,95
Fatoki,9,95
Fatoki,10,95
Gara Singh,13,95
Gara Singh,14,95
Aravian Wala,15,95
Aravian Wala,16,95
Aravian Wala,17,95
Makhnay Wala,20,95
Makhnay Wala,21,95
Landay Wala,22,95
Landay Wala,23,95
Cheena Bela Singh,24,95
Baka Pur,27,95
Baka Pur,28,95
Baka Pur,29,95
Satoki Hithar,30,95
Maratian,1,96
Maratian,2,96
Aki Kay,3,96
Aki Kay Scaded Area,6,96
Polay Kay,7,96
Polay ki Scaded Area,8,96
Dhatay Scaded Area,9,96
Dhatay ,10,96
Dhatay ,13,96
Dhatay ,14,96
Veer Kay Kahnay,15,96
Veer Kay Kahnay,16,96
Lalu Kay,17,96
Lalu Kay,20,96
Hasmna,21,96
Hasna Scaded Area,22,96
Hasna Marlay,23,96
Pindi Jatan,24,96
Pindi Jatan Scaded Area,27,96
Majhana,28,96
Majhana ,29,96
Dhatay,30,96
Babr Khai,1,97
Babr Khai,2,97
Baka Pur Shumali,3,97
Baka Pur Janubi,6,97
Mastuwal,7,97
Mastuwal,8,97
Mastuwal,9,97
Jhagian Aziz Baig,10,97
Nenwal Khalisah,13,97
Nenwal Khalisah,14,97
Muft Pura,15,97
Gohlan Hithar,16,97
Gohlan Hithar,17,97
Gohlan Hithar,20,97
Gohlan Hithar,21,97
Gohlan Hithar,22,97
Gohlan Hithar,23,97
Gohlan Hithar,24,97
Gohlan Hithar,27,97
Gohlan Hithar,28,97
Gohlan Hithar,29,97
Gohlan Hithar,30,97
Bhagewal Number 1,1,98
Kawaroli Bhagi Wala,2,98
Bhagi Wala Tibba,3,98
Bhagi Wala Tibba,6,98
Bhagi Wala Tibba,7,98
Bhagi Wala Alnawan Wala,8,98
Bongi Bagh,9,98
Bongi Kalie,10,98
Bongi Kalie,13,98
Bongi Plot,14,98
Village Arzani Pur,15,98
Village Arzani Pur,16,98
Village Arzani Pur,17,98
Arzani Por Adda,20,98
Arzani Por,21,98
Arzani Por,22,98
Mai Rabu,23,98
Thenag Khataryan,24,98
Azeem Pura,27,98
Village Koray Sial,28,98
Basti Koray Sial,29,98
Zila Tax Koray Sial,30,98
Bheem Kay Village,1,99
Bheem Kay Sectored,2,99
Chahar Kay,3,99
Chahar Kay,6,99
Harsa Noshehra,7,99
Harsa Noshehra,8,99
Badu Joiya,9,99
"Gandi Hithar, Sahangay Hithat",10,99
Satoki,13,99
Jandian Wala,14,99
Sahangay Othar,15,99
Jind Wala,16,99
Jind Wala Dharian,17,99
Kot Lalay Wala,20,99
Kot Lalay Wala Dharian,21,99
Kot Lalay Wala Sectored,22,99
Lambay Khalsa,23,99
Kot Bodla,24,99
Kot Balaka Singh,27,99
Dhag,28,99
Doblian,29,99
Tibba Doblian,30,99
Ketan Kalan,1,100
Ketan Khurd,2,100
Umer Baka,3,100
Jamsheer Khurd,6,100
Jamsheer Khurd,7,100
Meer Kot,8,100
Meer Kot Water Tank,9,100
Naki,10,100
Shams Pura,13,100
Shams Pura,14,100
Shams Pura,15,100
Khokhar Ashraf,16,100
Khokhar Ashraf,17,100
Khokhar Ashraf,20,100
Darbar Sheikh Alam Deen,21,100
Darbar Sheikh Alam Deen,22,100
Darbar Sheikh Alam Deen,23,100
Noor Pur Jatan,24,100
Noor Pur Jatan,27,100
Noor Pur Jatan,28,100
Bahari Pur,29,100
Bahari Pur,30,100
Saddah Othar,1,101
Saddah Othar,2,101
Saddah Othar,3,101
Saddah Othar,6,101
Saddah Hithar,7,101
Saddah Hithar,8,101
Dhos,9,101
Dhos,10,101
Dhos,13,101
Baherowal,14,101
Baherowal,15,101
Kanda Kharo,16,101
Kanda Kharo,17,101
Kanda Kharo,20,101
Kanda Kharo,21,101
Bakan Kay,22,101
Bakan Kay,23,101
Bakan Kay,24,101
Nizam Pura,27,101
Nizam Pura,28,101
