name,plan_date,uc_id
Muhalim Khord,1,1
Muhalim Khord,2,1
Hakim Jhagian,3,1
Khapar Par Hathar,6,1
Khapar Par Hathar,7,1
Khapar Par Hathar,8,1
Kalcha Maduna,9,1
Kalcha Maduna,10,1
Bazeed Pur,13,1
Bazeed Pur,14,1
Alan Kay+Jummay Wala,15,1
Jangllat,16,1
Sanda Nizam,17,1
Singh Sahab/Khagian wala,20,1
Singh Sahab/Khagian wala,21,1
Fatuhi Wala,22,1
Fatuhi Wala,23,1
Walay Wala/Kot Abdullah,24,1
Bhata Rasool Nagar,27,1
Rasool Nagar,28,1
Rasool Nagar,29,1
Rasool Nagar,30,1
Bahadar Pura,1,2
Bahadar Pura,2,2
Bahadar Pura,3,2
Tolo Wala Stop,6,2
Nizam Pura,7,2
Nizam Pura,8,2
Nizam Pura,9,2
Bigri,10,2
Bigri,13,2
Bigri,14,2
Basti Faiz Shah+Bhatajat,15,2
Bairoon Basti Sabri,16,2
Bairoon Basti Sabri,17,2
Band Rokad,20,2
Sheikh Bhagu,21,2
Sheikh Bhagu,22,2
Muhammad Nagar,23,2
Muhammad Nagar,24,2
Rasool Pura,27,2
Rasool Pura,28,2
Rasool Pura,29,2
Rasool Pura+ Bhatajat,30,2
Sidhana,1,3
Ghatian Wali,2,3
Anian Wali+ Dhari,3,3
Chak Deda,6,3
Kharpa Chak,7,3
Jonikay,8,3
Jonikay,9,3
Jonikay,10,3
Katian Wali,13,3
Katian Wali,14,3
Zaildar Wali,15,3
Jhagain Mewati,16,3
Imam Din Wali,17,3
Momin Pura,20,3
Itefaq Pura,21,3
Adham Singh,22,3
Paki Haweli,23,3
Paki Haweli,24,3
Kamharan Wali,27,3
Malkan Wali,28,3
Menay Wali,29,3
Topian Wali,30,3
Nol Hatar,1,4
Nai Basti Baghanpura,2,4
Purani Basti Baghanpura,3,4
Nawan Qila,6,4
Qila Gunja,7,4
Mehmood Pura,8,4
Mehmood Pura,9,4
Kot Arain,10,4
Khangran Wala,13,4
Humay Wala,14,4
Rehman Sati+Sadiq Sati,15,4
Qabar Kot,16,4
Qabar Kot,17,4
Kot Chaudary Wala,20,4
Kena Colony,21,4
Basti Eid Gah,22,4
Dera Sabir Shah,23,4
Alifwala,24,4
Kaleeran wala,27,4
Bijlighar Marlay,28,4
Cha Mali Wala,29,4
Hari Kanwal+Jura Basti,30,4
Sanda Kalan,1,5
Sanda Kalan,2,5
Sanda Kalan,3,5
Sanda Chastiana,6,5
Sanda Chastiana,7,5
Sanda Chastiana,8,5
Sanda Cha Jaat,9,5
Sanda Cha Jaat,10,5
Sanda Phatak Cha Jaat,13,5
Bheidian Khanpur,14,5
Bheidian Khanpur Cha Jaat,15,5
Bheidian Basti Cha Jaat,16,5
Cha Jaat,17,5
Bheidian Kalan,20,5
Bheidian Kalan,21,5
Bheidian Kalan,22,5
Bheidian Nombha,23,5
Bheidian Kalan Cha Jaat,24,5
Bheidian Kalan Cha Jaat,27,5
Barj Kalan,28,5
Mian Wala,29,5
Mian Wala,30,5
Chathian wala,1,6
Chathian wala,2,6
Chathian wala,3,6
Badr Pur,6,6
Badr Pur Haweli,7,6
Badr Pur Haweli,8,6
Badr Pur,9,6
Rae Kalan,10,6
Rae Kalan,13,6
Rae Kalan,14,6
Rae Khurd,15,6
Rae Khurd,16,6
Haweli Rae Khurd,17,6
Bedian,20,6
Bedian,21,6
Bedian,22,6
Bedian,23,6
Teh Jharulian,24,6
Chathian wala Haweli,27,6
Chathian wala,28,6
Chathian wala,29,6
Chathian wala,30,6
Noor Mehal Cenima,1,7
Qadirabad,2,7
Qadirabad,3,7
Qadirabad,6,7
Qadirabad,7,7
Qadirabad,8,7
Qadirabad,9,7
Qadirabad,10,7
Noor Shah Wali,13,7
Noor Shah Wali,14,7
Sadiqabad,15,7
Sadiqabad,16,7
Fazal Khan Colony,17,7
Zulfiqar Town,20,7
Basti Khadimabad,21,7
Kot Fatehbaz Khan,22,7
Muslim Town,23,7
Muslim Town,24,7
Basti Kher Din,27,7
Qadiwand Road+Haji Park,28,7
Sindhi Basti,29,7
Sadar Diwan,30,7
Haji Shah Sharif,1,8
Haji Shah Sharif,2,8
Kot Fateh Deen,3,8
Kot Fateh Deen,6,8
Kot Azam Khan,7,8
Kot Azam Khan,8,8
Beroon Kot Azam Khan,9,8
Jinah Colony,10,8
Dhoor Kot,13,8
Dhoor Kot,14,8
Dhoor Kot,15,8
Dangi Pura,16,8
Dangi Pura,17,8
Dangi Pura,20,8
Chap Shah,21,8
Chap Shah,22,8
Sardar Colony,23,8
Sardar Colony,24,8
Momin Pura,27,8
Momin Pura,28,8
Shami Shaheed,29,8
Kot Badha,30,8
Taqia Malanga,1,9
Kot Sher Baz Khan,2,9
Muneer Shahid Colony,3,9
Road Kot,6,9
Road Kot,7,9
Road Kot,8,9
Kot Mer Baz Khan,9,9
Kot Mer Baz Khan,10,9
Kot Mer Baz Khan,13,9
Kot Mer Baz Khan,14,9
Ali Park,15,9
Ali Park,16,9
Ali Park,17,9
Ali Park,20,9
Saidabad Colony,21,9
Balhay Shah Colony,22,9
Muhala Muhammad Nagar,23,9
Muhala Balochan Wala,24,9
Bilal Colony,27,9
Babar Town,28,9
Taba Rang Pur,29,9
Kambuh Colony+ Guldberg Colony,30,9
Tibi Kamwan Wali,1,10
Tibi Kamwan Wali,2,10
Tibi Kamwan Wali,3,10
Ahmad Khan Darwesh,6,10
Old Railway Line,7,10
Old Railway Line,8,10
Haji Gagga,9,10
Haji Gagga,10,10
Haji Gagga,13,10
Basti Burat Shah,14,10
Basti Burat Shah,15,10
Shakur Colony,16,10
Kamal Chashti Mor+ Jail Colony,17,10
Salim Town Defence Colony,20,10
Kot Ghulam Muhammad Khan,21,10
Roshanabad Colony,22,10
Shahbaz Road,23,10
Shahbaz Road,24,10
Kachi Abadi,27,10
Kachi Abadi+Saithi Colony,28,10
Ali Ahmad Shah Colony,29,10
Abdul Khaliq+Officer Colony,30,10
Kot Ghulam Muhammad,1,11
Kot Ghulam Muhammad,2,11
Kot Ghulam Muhammad,3,11
Androon Kot Piran,6,11
Beroon Kot Piran,7,11
Ret Chalah,8,11
Ret Chalah,9,11
Paka Qila,10,11
Roshanabad,13,11
Katal Ghari,14,11
Beroon Kot Piran,15,11
Kot Maulvi Abdul Qadir,16,11
Kot Maulvi Abdul Qadir,17,11
Niaz Nagar,20,11
Mangal Mandi,21,11
Deen Garh,22,11
Bagar Kot Androon,23,11
Bagar Kot Androon,24,11
Bagar Kot Beroon,27,11
Kot Halim Khan Androon,28,11
Kot Halim Khan Beroon,29,11
Basti Shadra+Mochi Pura,30,11
Kot Ali Garh Beroon,1,12
Kot Ali Garh Beroon,2,12
Kot Ali Garh Beroon,3,12
