name,plan_date,uc_id
Langoki,1,76
Beroon Langoki,2,76
Chak Number 60,3,76
Chak Number 60,6,76
Chak Number 59,7,76
Beroon Abadiat Chak Number 60,8,76
Chak Number 56+ Mari Mangal,9,76
Chak 55,10,76
Chak 55,13,76
Chak 54,14,76
Kot Sher Singh,15,76
Chak 52 + Peer Gharana,16,76
Chak 58,17,76
Chak 58,20,76
Beroon Chak 58,21,76
Cha Khokharan Wala,22,76
But Khas,23,76
Beroon But,24,76
Cha Taba Singh,27,76
Bghyarh Mar,28,76
Beroon Bghyarh Mar,29,76
Qamar Kot+ Hayat Kot+ Baghban Pura,30,76
Cheena Othar,1,77
Cheena Othar,2,77
Cheena Othar,3,77
Cheena Othar,6,77
Nehr Par,7,77
Beroon Cheena Othar,8,77
Mali Kothi,9,77
Basti Baghban Pura,10,77
Cheena Aarla,13,77
Cheena Aarla,14,77
Tali Wala + Khu,15,77
Tara Singh Wala,16,77
Niain Kay,17,77
Maeen Mar,20,77
Sandar Singh Wala,21,77
Mazhabi Wala,22,77
Kot Jasmal Khan+ Ibrahim,23,77
Rati Pindi,24,77
Rati Pindi,27,77
Rati Pindi,28,77
Khata,29,77
Kot Abdul-Rehman,30,77
زیبہLHW,1,78
زیبہLHW,2,78
زیبہLHW,3,78
محمد اسحاق,6,78
نواب خاں,7,78
عاشق علی,8,78
سرور بھٹی,9,78
ماسٹر اسلام,10,78
سمینہLHW,13,78
LHWمسرت,14,78
عتیقہ شاہینLHW,15,78
عتیقہ شاہینLHW,16,78
روبینہLHW,17,78
روبینہLHW,20,78
شہنازLHW,21,78
نادیہ LHW,22,78
نادیہ LHW,23,78
نادیہ LHW,24,78
منگتو خاں,27,78
ماسٹر جاوید,28,78
ماجید,29,78
اختر حسین,30,78
Matta,1,79
Matta,2,79
Matta,3,79
Matta,6,79
Beroon Matta,7,79
Beroon Matta,8,79
Beroon Matta,9,79
Beroon Matta,10,79
Kalo Khara,13,79
Kalo Khara,14,79
Beroon Kalo Khara,15,79
Beroon Kalo Khara,16,79
Ram Thaman,17,79
Ram Thaman,20,79
Beroon Ram Thaman,21,79
Suharan,22,79
Maloki,23,79
Kahan Singh,24,79
Rusa,27,79
Beroon Rusa,28,79
Sherukana,29,79
Beroon Kalo Khara,30,79
Nathoki,1,80
Nathoki,2,80
Nathoki,3,80
Nathoki,6,80
Nathoki,7,80
Nathoki,8,80
Garoki Jhagian,9,80
Garoki Jhagian,10,80
Bohar,13,80
Bohar,14,80
Bohar,15,80
Bohar,16,80
Kot Waqil Wala,17,80
Jhagian Bohar,20,80
Kot Nasir Khan,21,80
Halar Kay Pemar,22,80
Jhalar Bhagay,23,80
Jhalar Phatian Wali,24,80
Kot Jetay Wala,27,80
Kot Penchan Wala,28,80
Kot Penchan Wala,29,80
Kot Umer,30,80
Mudkay Khas,1,81
Mudkay Khas,2,81
"Tiba Mewatian, Kot Noor Muhammad",3,81
"Koot Deen Muhammad, Cha Khatarian",6,81
Kot Lahab Singh,7,81
Kot Wasn Singh,8,81
Bhatta Jaat Mudkay,9,81
"Fazal Pura, Cha Zargran",10,81
"Paki Jhalar, Jhalar Warkan",13,81
Mehrab Pura,14,81
Bhel Khas,15,81
Bhel Khas,16,81
Rusa,17,81
Rusa,20,81
Rusa,21,81
Rusa,22,81
Jagokay,23,81
Bhatta Jaat Bheel,24,81
Chak 65,27,81
Kot Mahna Singh,28,81
Dharewal,29,81
Rakh Mudkay,30,81
Kot Mahtab Khan,1,82
Khushal Singh,2,82
Ganda Singh,3,82
Baghil Singh,6,82
Baghil Singh,7,82
Baghil Singh,8,82
Baghil Singh,9,82
Sadhu Pura,10,82
Sadhu Pura,13,82
Amr Pura,14,82
Nool Othar,15,82
Bahmni Wala,16,82
Dhingri Wala,17,82
Saedan Wala,20,82
Jawahar Singh,21,82
Salkhan Singh,22,82
Olakh Othar,23,82
Olakh Othar,24,82
Dharian,27,82
"Kot Ilyas, Jhalar",28,82
Kot Chaju; Kot Eidu,29,82
Sadhuani,30,82
Rukhsana Health House,1,83
Bethak Qasim Gujjar,2,83
Bethak Sufi Tufail,3,83
Bushra Health House,6,83
Salma Health House,7,83
Salma Health House,8,83
Bethak Shahid Ambawi,9,83
Brthak Sunyaron Wali,10,83
Robina Health House,13,83
Bethak Malik Iqbal,14,83
Salma Health House,15,83
Abeela Health House,16,83
Taukira Health House,17,83
Welfare Centre,20,83
Hafizan Health House,21,83
Bethak Ayub Khawar,22,83
Mehnaz Health House,23,83
Bethak Younis Mistri,24,83
Bethak Abdullah Kambuh,27,83
Bethak Abdullah Kambuh,28,83
Shamshad Health House,29,83
Bethak Gulzar + Dispensary,30,83
Sharif Pura,1,84
Kot Minian,2,84
Kot Minian,3,84
Teacher Colony,6,84
Muhala Rajpootan,7,84
Meo Muhala,8,84
Muhala Sher Rabani,9,84
Muhala Maan Singh,10,84
Haji Park - Muhala Maan Singh,13,84
Ghuffar Town,14,84
Ghuffar Town,15,84
Baghil Singh,16,84
Baghil Singh,17,84
Work Street,20,84
Sanah Colony,21,84
Abadi Qabristan,22,84
Khalid Street,23,84
Raja Sher Afzal,24,84
Choki Muhala,27,84
Java Street,28,84
Meo Muhala,29,84
Meo Muhala,30,84
Harian,1,85
Beroon Harian,2,85
Zaffarkay,3,85
Zaffarkay,6,85
Zaffarkay,7,85
Ghanaikay,8,85
Ghanaikay,9,85
Ghanaikay,10,85
Azamabad+ Kot Sheikhan,13,85
Tark Wind + Kot Mangal Singh,14,85
Atari Ajeet Singh,15,85
Peemar Othar,16,85
Peemar Othar,17,85
Beroon Peemar Othar,20,85
Tiba Fazalabad,21,85
Kot Tajdeen,22,85
Kot Tajdeen,23,85
Bhtan Pura,24,85
Beroon Bhtan Pura,27,85
Hameed Town+ Zaffarkay Railway,28,85
Prem Nagar,29,85
Beroon Zaffarkay,30,85
Bamba Kalan Village,1,75
Bamba Kalan Village,2,75
Bamba Kalan Village,3,75
"Haweli Makhan, Ameen Wali",6,75
"Haweli Rustan, Chand Kot",7,75
"Haweli Hansan Wali, Bhatta",8,75
Haweli Nandwani Wali,9,75
Haweli Malkan Wali Kalan,10,75
Haweli Malkan Wali Khurd,13,75
Haweli Bahman Wali,14,75
"Haweli Sughran Wali, Shareef Wali",15,75
"Haweli Khatri Wali, Ibahim Lambardar",16,75
Haweli Ismail,17,75
Bhamda Khurd Village,20,75
Bhamda Khurd Village,21,75
Bhamda Khurd Village,22,75
Haweli Khatri Wali,23,75
"Haweli Bansan Wali, Nai Wali",24,75
"Haweli Manshi, Nool Khan",27,75
"Haweli Jagrup, Umeed Khan",28,75
"Haweli Marali Wali, Bahman Wali",29,75
Haweli Sohan Singh Wali,30,75
